City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,margaret river,-33.95,115.0667,19.7,40,61,0.37,AU,1698720229
1,edinburgh of the seven seas,-37.0676,-12.3116,13.83,95,100,12.36,SH,1698720229
2,xining,36.6167,101.7667,9.99,26,0,0.37,CN,1698720230
3,sitka,57.0531,-135.33,8.94,81,100,2.57,US,1698720230
4,ushuaia,-54.8,-68.3,3.81,65,75,10.29,AR,1698720230
5,coquimbo,-29.9533,-71.3436,13.85,82,0,1.03,CL,1698720197
6,grytviken,-54.2811,-36.5092,2.74,82,88,2.98,GS,1698720231
7,port-aux-francais,-49.35,70.2167,3.8,89,100,17.02,TF,1698720231
8,holualoa,19.6228,-155.9522,26.94,79,20,6.17,US,1698720232
9,nyazepetrovsk,56.0531,59.6028,-2.79,96,96,2.68,RU,1698720232
10,port alfred,-33.5906,26.891,14.3,80,21,6.8,ZA,1698720233
11,adamstown,-25.066,-130.1015,23.0,76,100,3.06,PN,1698720233
12,amga,60.8953,131.9608,-9.1,83,100,2.66,RU,1698720233
13,piti village,13.4626,144.6933,31.49,78,75,4.63,GU,1698720234
14,inyonga,-6.7167,32.0667,20.35,78,73,1.98,TZ,1698720234
15,yellowknife,62.456,-114.3525,-1.99,100,75,2.06,CA,1698720234
16,puerto natales,-51.7236,-72.4875,0.45,77,1,1.75,CL,1698720181
17,bilibino,68.0546,166.4372,-15.73,78,70,1.25,RU,1698720235
18,vernon,50.2581,-119.2691,1.83,70,25,1.03,CA,1698720002
19,phan rang-thap cham,11.5667,108.9833,30.15,65,94,4.71,VN,1698720236
20,atafu village,-8.5421,-172.5159,29.14,73,26,6.45,TK,1698720236
21,richards bay,-28.783,32.0377,15.43,84,97,1.59,ZA,1698720237
22,blackmans bay,-43.0167,147.3167,14.85,48,81,4.02,AU,1698720237
23,hithadhoo,-0.6,73.0833,26.99,80,100,4.88,MV,1698720237
24,sukumo,32.9333,132.7333,21.87,42,0,2.27,JP,1698720238
25,puerto ayora,-0.7393,-90.3518,23.64,91,100,1.79,EC,1698720238
26,cidreira,-30.1811,-50.2056,19.44,93,100,3.68,BR,1698720238
27,goryachiy klyuch,44.6308,39.13,4.79,68,1,1.27,RU,1698720239
28,werdau,50.7333,12.3833,12.29,85,100,0.89,DE,1698720239
29,aasiaat,68.7098,-52.8699,-7.8,83,39,5.5,GL,1698720239
30,wailua homesteads,22.0669,-159.378,27.44,73,40,3.6,US,1698720240
31,maceio,-9.6658,-35.7353,22.69,94,0,1.54,BR,1698719946
32,whitehorse,60.7161,-135.0538,1.43,93,100,2.57,CA,1698720241
33,waitangi,-43.9535,-176.5597,14.9,83,100,6.26,NZ,1698720241
34,kapoeta,4.7717,33.5903,24.31,70,73,7.49,SS,1698720242
35,nova sintra,14.8667,-24.7167,23.55,67,64,1.17,CV,1698720242
36,zapolyarnyy,69.4154,30.8136,-5.4,96,99,2.26,RU,1698720242
37,albany,42.6001,-73.9662,5.93,82,100,1.79,US,1698720195
38,puerto baquerizo moreno,-0.9,-89.6,23.26,81,100,4.08,EC,1698720244
39,georgetown,5.4112,100.3354,30.96,82,20,1.54,MY,1698719948
40,tamanrasset,22.785,5.5228,15.95,25,0,1.54,DZ,1698720244
41,dadukou,26.5479,101.7054,21.57,61,99,0.31,CN,1698720245
42,kapa'a,22.0752,-159.319,28.18,73,40,3.6,US,1698720245
43,fort mcmurray,56.7268,-111.381,-3.23,68,100,2.06,CA,1698720246
44,east london,-33.0153,27.9116,13.09,87,24,4.29,ZA,1698720246
45,bethel,41.3712,-73.414,9.72,80,100,2.06,US,1698719954
46,mukalla,14.5425,49.1242,25.04,77,76,2.5,YE,1698720247
47,le marin,14.4721,-60.8697,26.95,89,40,1.03,MQ,1698720248
48,west island,-12.1568,96.8225,26.99,83,40,7.2,CC,1698720248
49,st. john's,47.5649,-52.7093,1.55,94,100,3.09,CA,1698719973
50,pacific grove,36.6177,-121.9166,18.58,44,0,2.06,US,1698719986
51,cannonvale,-20.2833,148.7,25.66,50,5,3.52,AU,1698720249
52,haiku-pauwela,20.9219,-156.3051,27.01,72,20,7.72,US,1698720249
53,tavda,58.0425,65.2726,-7.95,96,99,1.79,RU,1698720250
54,kamaishi,39.2667,141.8833,17.15,60,0,1.9,JP,1698720250
55,invercargill,-46.4,168.35,16.12,75,100,1.79,NZ,1698720251
56,ghat,24.9647,10.1728,22.15,21,0,1.22,LY,1698720251
